title,link,excerpt,published_at,funding_round,money_raised
Fugue Raises $20M Series C Round For Its Cloud Operating System,https://techcrunch.com/2016/01/14/fugue-aka-luminal-raises-20m-series-c-round-for-its-cloud-operating-system/,"Fugue (the company previously known as Luminal), today announced that it has raised $20 million in a Series C funding round led by New Enterprise Associates (NEA). The Frederick, MD- and Washington, D...",2016/01/14,Series C,$20 M
Social Intelligence Startup Brandwatch Raises $33M Series C To Grow In US,https://techcrunch.com/2015/10/29/social-intelligence-startup-brandwatch-raises-33m-series-c-to-grow-in-us/,"Social media is officially eating Internet, and where the people go with their eyeballs, so do the brands. But the brands are - largely - all at sea, still trying to figure all this stuff out. One of ...",2015/10/29,Series C,$33 M
"Mesosphere raises $73.5M Series C led by HPE, with Microsoft as strategic investor",https://techcrunch.com/2016/03/24/mesosphere-raises-73-5m-series-c-led-by-hpe-with-microsoft-as-strategic-investor/,"Mesosphere, the container-centric company that aims to help enterprises better utilize their data centers with the help of its Data Center Operating System (DCOS), today announced that it has raised a...",2016/03/24,Series C,$73.5 M
Israeli Cybersecurity Firm Cybereason Raises $59M Series C Led By SoftBank,https://techcrunch.com/2015/10/13/israeli-cybersecurity-firm-cybereason-raises-59m-series-c-led-by-softbank/,"If you've been keeping up with the news, corporate security breaches are kind of a thing lately. Thus, it's no surprise that Cybereason, a cybersecurity firm that specializes in thwarting major corpor...",2015/10/13,Series C,$59 M
"Alexa & comScore Competitor SimilarWeb Raises Series C From Naspers, Is Now Headed To Mobile",https://techcrunch.com/2014/02/24/alexa-comscore-competitor-similarweb-raises-series-c-from-naspers-is-now-headed-to-mobile/,"SimilarGroup, the makers of a would-be Alexa killer called SimilarWeb, which analyzes web rankings via a panel containing millions of web surfers, has raised a Series C round of funding. The new fundi...",2014/02/24,Series C,unknown
Cross-Platform Development Platform Xamarin Raises $54M Series C,https://techcrunch.com/2014/08/21/cross-platform-development-platform-xamarin-raises-54m-series-c/,"Xamarin, the popular service for building cross-platform native applications, today announced that it has raised a $54 million Series C round led by a combination of new and existing investors. As far...",2014/08/21,Series C,$54 M
Restaurant Delivery Startup Deliveroo Raises $70M Series C,https://techcrunch.com/2015/07/27/series-c-delivered/,"Deliveroo, the on-demand startup that offers food delivery from premium restaurants that don?t traditionally offer a take-out service, appears to be on somewhat of a roll. It was just two months ago t...",2015/07/27,Series C,$70 M
"Kiip, a mobile rewards startup, raises $12 million Series C round",https://techcrunch.com/2016/07/19/kiip-series-c-12-million/,"Mobile advertising can be really intrusive. But, if done right, you might not even notice you're being advertised to. That's what mobile rewards startup Kiip is all about. It allows advertisers to sea...",2016/07/19,Series C,$12 M
India?s BankBazaar Raises $60M Series C Led By Amazon,https://techcrunch.com/2015/07/02/bankbazaar/,"BankBazaar, a startup that lets Indian consumers compare financial products online, has scored a $60 million Series C led by Amazon, with participation from Fidelity Growth Partners, Mousse Partners, ...",2015/07/02,Series C,$60 M
Fractyl Labs Raises $40M Series C To Develop Diabetes Treatments,https://techcrunch.com/2014/09/04/fractyl-labs-raises-40m-series-c-to-develop-diabetes-treatments/,"Fractyl Labs, which develops treatments for diabetes, has raised a $40 million Series C round led by Mithril, with participation from returning investors General Catalyst, Bessemer Venture Partners, a...",2014/09/04,Series C,$40 M
Zenoss Raises $25 Million Series C To Automate IT,https://techcrunch.com/2012/10/09/zenoss-raises-25-million-series-c-to-automate-it/,"Open source IT management and monitoring company Zenoss raised a $25 million series C lead by Summit Partners with participation from previous investors Grotech Ventures, Intersouth Partners and Bould...",2012/10/09,Series C,$25 M
Affordable Hearing Aid Maker iHear Raises $5M Series C,https://techcrunch.com/2014/11/24/affordable-hearing-aid-maker-ihear-raises-5m-series-c/,"iHear Medical, which makes affordable hearing aids that users can customize at home, has raised $5 million in a Series C round led by Lighthouse Capital, a Shanghai-based venture capital firm that foc...",2014/11/24,Series C,$5 M
Appcelerator Raises $15 Million Series C Round,https://techcrunch.com/2011/11/01/appcelerator-raises-15-million-series-c-round/,"Appcelerator, makers of the popular mobile cloud development platform Titanium, has raised $15 million in Series C funding in a round led by Mayfield Fund, Translink Capital and Red Hat. Existing inve...",2011/11/01,Series C,$15 M
Babbel Raises $22M Series C Round For Its Language Learning Service,https://techcrunch.com/2015/07/08/babbel-raises-22m-series-c-round-for-its-language-learning-service/,The Berlin- and New York-based language learning service Babbel today announced that it has raised a $22 million funding round led by Scottish Equity Partners. Other participants in this round include...,2015/07/08,Series C,$22 M
"Home Remodeling Platform Houzz Raises $35M Series C Round Led By NEA And GGV Capital, Launches Paid Pro+ Accounts",https://techcrunch.com/2013/01/29/home-remodeling-platform-houzz-raises-35m-series-c-round-led-by-nwa-and-ggv-capital-launches-paid-pro-accounts/,"Houzz is one of those Silicon Valley startups you don't hear all that much about, but the company is quickly disrupting the $300 billion home remodeling market by providing homeowners with inspiration...",2013/01/29,Series C,$35 M
ShoZu raises £6m in Series C funding,https://techcrunch.com/2008/01/29/shozu-raises-6m-in-series-c-funding/,"ShoZu, best known as the UK-based developer of an application which allows you to upload to social sites like Flickr, has raised just over £6m ($12m) in Series C funding. SEB Venture Capital led the r...",2008/01/29,Series C,£6 M
Card-Linked Local Offers Platform Edo Raises $15M Series C,https://techcrunch.com/2012/09/13/card-linked-local-offers-platform-edo-raises-15m-series-c/,"Edo, a card-linked local offers a platform that targets customers based on their real-world spending behavior, has closed a $15 million Series C round of funding, the company announced today. The roun...",2012/09/13,Series C,$15 M
Confirmed: ClassPass Raises $30 Million Series C From Google Ventures,https://techcrunch.com/2015/11/11/confirmed-classpass-raises-30-million-series-c-from-google-ventures/,"ClassPass, the fitness startup that lets you pay $125 for unlimited fitness classes from dozens of gyms and boutiques, has just confirmed to TechCrunch that it raised $30 million in Series C funding l...",2015/11/11,Series C,$30 M
eGym raises $45M Series C for cloud-connected gym equipment and fitness software,https://techcrunch.com/2016/03/21/egym/,"eGym, the Munich-based startup that offers cloud-connected gym equipment and supporting cloud software and app for the fitness training floor, has closed $45 million in Series C funding. The round was...",2016/03/21,Series C,$45 M
Fraud Prevention Service Pindrop Raises $75M Series C Round Led By Google Capital,https://techcrunch.com/2016/01/28/fraud-prevention-service-pindrop-raises-75m-series-c-round-led-by-google-capital/,"Pindrop helps businesses avoid getting scammed on the phone by analyzing both the audio of a call and the metadata it has about a caller. After raising a total of $47 million since its launch in 2012,...",2016/01/28,Series C,$75 M
Euclid Analytics Raises $20M Series C To Track Consumer Behavior In Retail Stores,https://techcrunch.com/2016/01/14/euclid-analytics-raises-20m-series-c-to-track-consumer-behavior-in-retail-stores/,"Euclid Analytics plans to help more companies track customer behavior in their retail stores after raising a $20 million Series C. The funding will be used to acquire clients, add new employees, and b...",2016/01/14,Series C,$20 M
Placester Raises $27M Series C Round For Its Real Estate Marketing Platform,https://techcrunch.com/2015/11/24/placester-raises-27m-series-c-round-for-its-real-estate-marketing-platform/,"Placester, a service that helps real estate agents and brokers to serve their clients and market themselves better, today announced that it has raised a $27 million Series C round. The round includes ...",2015/11/24,Series C,$27 M
Enterprise security service Skyport raises $30M Series C round led by GV,https://techcrunch.com/2016/03/15/enterprise-security-service-skyport-raises-30m-series-c-round-led-by-gv/,Skyport Systems helps enterprises keep their data and applications secure by allowing them to host their services in a hardened appliance with embedded security features. The company today announced t...,2016/03/15,Series C,$30 M
AR Startup Magic Leap Raises $793.5M Series C At $4.5B Valuation Led By Alibaba,https://techcrunch.com/2016/02/02/ar-startup-magic-leap-raises-793-5m-series-c-at-4-5b-valuation-led-by-alibaba/2/,Magic Leap has been successful in keeping a lot of its technology under wraps -- the augmented and virtual reality technology company has yet to release a product -- but its fundraising has been an op...,2016/02/02,Series C,$793.5 M
AR Startup Magic Leap Raises $793.5M Series C At $4.5B Valuation Led By Alibaba,https://techcrunch.com/2016/02/02/ar-startup-magic-leap-raises-793-5m-series-c-at-4-5b-valuation-led-by-alibaba/,Magic Leap has been successful in keeping a lot of its technology under wraps -- the augmented and virtual reality technology company has yet to release a product -- but its fundraising has been an op...,2016/02/02,Series C,$793.5 M
Lending Platform China Rapid Finance Raises $35M Series C At A $1B Valuation,https://techcrunch.com/2015/07/29/china-rapid-finance/,"China Rapid Finance, which claims to be the country?s largest online consumer lending marketplace, has closed a $35 million Series C round led by Broadline Capital. The round pegs the company?s pre-mo...",2015/07/29,Series C,$35 M
"Snowflake Raises $45M Series C Round For Its Data Warehousing Service, Comes Out Of Beta",https://techcrunch.com/2015/06/23/snowflake-raises-45m-series-c-round-for-its-data-warehousing-service-comes-out-of-beta/,"Snowflake, a novel data warehousing service that's run by former Microsoft server and tools executive Bob Muglia, is coming out of beta today. In addition, the company today announced that it has rais...",2015/06/23,Series C,$45 M
"Coursera Raises $49.5M Series C Funding Led By NEA, Expects Second Closing Will Bring Total To $60M",https://techcrunch.com/2015/08/25/coursera-raises-49-5m-series-c-funding-led-by-nea-expects-second-closing-will-bring-total-to-60m/,The fast-growing online education service Coursera today announced that it has raised a $49.5 million Series C funding round led by New Enterprise Associates. Other investors include Kleiner Perkins C...,2015/08/25,Series C,$49.5 M
Data Storage Company Scale Computing Raises $17 Million Series C,https://techcrunch.com/2010/11/23/data-storage-company-scale-computing-raises-17-million-series-c/,"Scale Computing, a provider of midmarket clustered storage solutions, this morning announced it has secured $17 million in Series C funding in a round led by Scale Venture Partners with participation ...",2010/11/23,Series C,$17 M
App Analytics Startup Adjust Raises $7.6 Million Series C,https://techcrunch.com/2014/09/08/adjust-series-c/,"Well, what do we have here? A European series C round. Berlin-headquartered app analytics startup Adjust (if we can still call the company a startup) has raised a $7.6 million further round of funding...",2014/09/08,Series C,$7.6 M
Pet Sitting Marketplace Rover Raises $12 Million Series C,https://techcrunch.com/2014/03/12/pet-sitting-marketplace-rover-raises-12-million-series-c/,"Rover, the Seattle-based online community that connects dog owners with in-home sitters, is today announcing $12 million in Series C funding, in a round led by new investor Menlo Ventures. Existing in...",2014/03/12,Series C,$12 M
Rocket Fuel Raises $6.6 Million Series C At $160 Million Valuation,https://techcrunch.com/2011/04/04/rocket-fue-160-million-valuation/,"Display ad optimization startup Rocket Fuel raised $6.6 million in a Series C funding, giving it a $160 million valuation, according to the company.  Northgate Capital led the financing.  Other invest...",2011/04/04,Series C,$6.6 M
Carvana raises a $160M Series C to expand its online dealership and car vending machines nationwide,https://techcrunch.com/2016/08/10/carvana-raises-a-160m-series-c-to-expand-its-online-dealership-and-car-vending-machines-nationwide/,"The used car industry is an interesting business. The market is huge - 45 million used cars are bought each year in the U.S. But the biggest player, CarMax, only controls about 2% of the market - but ...",2016/08/10,Series C,$160 M
"India?s FreeCharge, Which Gives Users Coupons When They Pay Bills, Raises $80M Series C",https://techcrunch.com/2015/02/05/freecharge-seriesc/,"FreeCharge, an India-based mobile commerce platform that gives users coupons and other rewards when they pay their phone, satellite television, and utility bills, has raised an $80 million series C. T...",2015/02/05,Series C,$80 M
Paperless Postal System Zumbox Raises $10 Million Series C,https://techcrunch.com/2012/07/10/paperless-postal-system-zumbox-raises-10-million-series-c/,"Zumbox, the company which delivers your postal mail online in a digital format, has just closed a $10 million Series C round of funding, bringing its total raise to date to $28 million. The round incl...",2012/07/10,Series C,$10 M
"Conductor Raises $20M Series C To Improve Customers? Search Rankings, Outlines Ambitions Beyond SEO",https://techcrunch.com/2012/10/30/conductor-20m-series-c/,"SEO company Conductor has just raised a $20 million Series C. The round was led by Investor Growth Capital, with participation from previous investors FirstMark Capital and Matrix Partners. Conductor'...",2012/10/30,Series C,$20 M
CareCloud raises $31.5 million in Series C for its cloud health care management platform,https://techcrunch.com/2016/11/15/carecloud-raises-31-5-million-in-series-c-for-its-cloud-based-healthcare-revenue-management-platform/,"CareCloud, the revenue management and health IT platform, announced it has raised $31.5 million in strategic Series C financing from The PNC Financial Services Group, Inc., First Data Corporation and ...",2016/11/15,Series C,$31.5 M
Spiceworks Is Becoming The Facebook For IT Managers; Raises $16 Million Series C,https://techcrunch.com/2010/01/11/spiceworks-is-becoming-the-facebook-for-it-managers-raises-16-million-series-c/,"Spiceworks, a startup that develops Web-connected social IT management software, has raised $16 million in Series C funding round led by Institutional Venture Partners with Austin Ventures and Shasta ...",2010/01/11,Series C,$16 M
"Quora Wants To Stay Independent, Raises $80M Series C From Tiger Global At ~$900M Valuation",https://techcrunch.com/2014/04/09/quora-forever/,"Startups get acquired and shut down. That threat could scare people out of writing deep answers on Quora's Q&A site. So it's just raised an $80 million Series C because ""We specifically want to stay i...",2014/04/09,Series C,$80 M
Motionbox Raises $6 Million Series C For Its YouTube Alternative,https://techcrunch.com/2009/01/14/motionbox-raises-6-million-series-c-for-its-youtube-alternative/,"Video sharing site Motionbox has just closed a $6 million Series C funding round led by Constellation Ventures, with Canaan Partners and SAS Investors also participating. Alongside the funding, Motion...",2009/01/14,Series C,$6 M
Duolingo Raises $20M Series C Led By Kleiner Perkins To Dominate Online Language Learning,https://techcrunch.com/2014/02/18/duolingo-raises-20m-series-c-round-led-by-kleiner-perkins-wants-to-dominate-online-language-learning/,"The popular language learning platform Duolingo today announced that it has closed a $20 million Series C round led by Kleiner Perkins Caufield & Byers. As Duolingo's founder Luis von Ahn told me, the...",2014/02/18,Series C,$20 M
ExtraHop Raises $41M Series C Round For Its Real-Time IT Analytics Service,https://techcrunch.com/2014/05/29/extrahop-raises-41m-series-c-round-for-its-real-time-it-analytics-service/,"Seattle-based ExtraHop, a service that offers real-time analytics based on analyzing data right off the wire instead of using software that runs on the server, today announced that it has raised a $41...",2014/05/29,Series C,$41 M
Ostrovok Raises New $12M Series C Round To Expand Outside Russia,https://techcrunch.com/2014/06/18/ostrovok-raises-new-12m-series-c-round-to-expand-outside-russia/,"Ostrovok.ru, the Russian accommodation booking startup, has announced a $12 million financing round investment led by Vaizra Capital Russia, a fund backed by Vyacheslav Mirilashvili and Lev Leviev, co...",2014/06/18,Series C,$12 M
CloudBees Raises $11.2M Series C Led By Verizon Ventures To Expand Its Java-Centric Enterprise PaaS,https://techcrunch.com/2014/03/05/cloudbees-raises-11-2m-series-c-led-by-verizon-ventures-to-expand-its-java-centric-enterprise-paas/,"CloudBees, a Java-centric Enterprise platform as a service we've covered a few times in the past, today announced that it has raised an $11.2 million Series C funding round led by Verizon Ventures. Ex...",2014/03/05,Series C,$11.2 M
2tor Raises $32.5 Million Series C To Make Online Education Great,https://techcrunch.com/2011/03/15/2tor-32-5-million-online-education/,"""One reason online education isn?t that good is I don?t think it is trying to be that good,"" says John Katzman, the CEO of 2tor, an online education startup that is trying to break that mold. The comp...",2011/03/15,Series C,$32.5 M
BonitaSoft Raises $13M Series C For Its Open Source Business Process Management Solution,https://techcrunch.com/2013/05/16/bpm/,"BonitaSoft, a provider of an open source business process management (BPM) solution, has raised a $13 million Series C round led by the FSN PME Fund, a French government initiative to invest in techno...",2013/05/16,Series C,$13 M
Brazilian Antivirus Startup PSafe Raises $30M Series C From China?s Qihoo 360 And Redpoint e.ventures,https://techcrunch.com/2013/12/03/brazilian-antivirus-startup-psafe-raises-30m-series-c-from-chinas-360-and-redpoint-e-ventures/,"Brazilian antivirus startup PSafe announced a $30 million Series C investment round today. Chinese antivirus company Qihoo 360 led the round with a $25 million investment, and existing investors Redpo...",2013/12/03,Series C,$30 M
"Kids? Clothing Service thredUP Raises $14.5M Series C, Plans Expansion Into Teen & Adult Apparel",https://techcrunch.com/2012/10/03/kids-clothing-service-thredup-raises-14-5m-series-c-plans-expansion-into-teen-adult-apparel/,"Online kids? clothing consignment shop thredUP is taking in additional capital in order to further scale its operations and expand to new verticals, the company announced today. New investor Highland ...",2012/10/03,Series C,$14.5 M
WorldStores Raises $15M Series C To Build Out Its Amazon-Style Ecommerce Model For Home & Garden Products,https://techcrunch.com/2013/06/03/worldstores-15m-series-c/,"WorldStores, a U.K.-based online retailer of home and garden products going after supplier scale to fuel its growth, has raised £10 million (US$15.2 million) in Series C funding, led by Serena Capital...",2013/06/03,Series C,$15 M
Twitter Raises $35 Million Series C From Benchmark and IVP,https://techcrunch.com/2009/02/13/twitter-raises-third-round-of-funding-from-benchmark-and-ivp/,"Update: We just got off the phone with IVP partner Todd Chaffee who says this round was actually in excess of $35 million. Apparently, $35 million is just the total of what Benchmark and IVP put in ($...",2009/02/13,Series C,$35 M
rPath Raises $10M Series C Round To Further Build Out Cloud Platform,https://techcrunch.com/2008/06/24/rpath-raises-12m-series-c-round-to-further-build-out-cloud-platform/,"The cloud-computing and virtualization provider rPath today announced that they have closed a $10M Series C round of investment. The round was lead by existing investors General Catalyst, North Bridge...",2008/06/24,Series C,$10 M
Snapchat Raises $50 Million In Series C From Coatue Management,https://techcrunch.com/2013/12/11/snapchat-series-c-50-million/,"Amid rumors of a $3 billion acquisition offer from Facebook and a potential $200 million funding round, turns out that ephemeral messaging sensation Snapchat has actually raised $50 million in Series ...",2013/12/11,Series C,$50 M
ToyTalk Raises $15 Million In Series C Round Led By Khosla Ventures,https://techcrunch.com/2014/12/09/toytalk-raises-15-million-in-series-b-round-led-by-khosla-ventures/,"ToyTalk, the kids entertainment applications startup founded by former Pixar execs has raised $15 million in a Series C round of financing led by Khosla Ventures. Former investors Greylock, First Roun...",2014/12/09,Series C,$15 M
KickApps Actually Raises $14 Million In Series C Round,https://techcrunch.com/2008/11/25/kickapps-actually-raises-14-million-in-a-series-b/,"Yesterday, word leaked out that white-label social networking startup KickApps raised another round of funding. But the amount reported by PEHub (""over $13 million""), based on an old Reg. D filing at ...",2008/11/25,Series C,$14 M
"CrossChx raises a $15 million Series C round from Khosla Ventures, Drive Capital and more",https://techcrunch.com/2016/04/06/crosschx-raises-a-15-million-series-c-round-from-khosla-ventures-drive-capital-and-more/,"Healthcare identity startup CrossChx announced this morning that they raised a $15 million Series C financing round from Khosla Ventures, Drive Capital, Silicon Valley Bank, NCT Ventures and Moonshots...",2016/04/06,Series C,$15 M
SeatGeek Raises $62 Million In A Series C Led By Technology Crossover Ventures,https://techcrunch.com/2015/04/02/seatgeek-raises-62-million-in-a-series-c-led-by-technology-crossover-ventures/,"Online ticket sales startup SeatGeek has raised $62 million in Series C funding. Co-founder Jack Groetzinger confirmed to TechCrunch that the round was led by Technology Crossover Ventures, with parti...",2015/04/02,Series C,$62 M
"Decide.com Raises $8M Series C For Its Price Predictions Engine; Will Expand To More Categories, Improve Data Mining & Mobile Apps",https://techcrunch.com/2013/03/22/decide-com-raises-8m-series-c-for-its-price-predictions-engine-will-expand-to-more-categories-improve-data-mining-mobile-apps/,"Shopping and comparison engine Decide.com, which offers suggestions as to not just what to buy but also when, is announcing today that it has raised $8 million in Series C funding, in a round led by V...",2013/03/22,Series C,$8 M
Peer Lending Site Lending Club Raises $24.5 Million Series C Round,https://techcrunch.com/2010/04/14/lending-club/,A big round for a company that originally started out as a Facebook app: peer lending network operator Lending Club has secured a $24.5 million Series C financing round led by Foundation Capital and j...,2010/04/14,Series C,$24.5 M
Engine Yard Raises $19 Million In Series C For Ruby-On-Rails Hosting,https://techcrunch.com/2009/10/07/engine-yard-raises-19-million-in-series-c-for-ruby-on-rails-hosting/,"Developers love Engine Yard, the Red Hat for Ruby on Rails.  And so do investors, who just plowed another $19 million into the startup, which hosts Ruby-on-Rails deployments.

New investors include DA...",2009/10/07,Series C,$19 M
Flirtomatic raises $9m in Series C round from Nauta Capital and existing investors,https://techcrunch.com/2010/07/14/flirtomatic-raises-9m-in-series-c-round-from-nauta-capital-and-existing-investors/,"Mobile social network Flirtomatic (""the world's number one flirting company"") today announced that it has raised $9 million in Series C funding from Nauta Capital and existing investors Doughty Hanson...",2010/07/14,Series C,$9 M
Quantcast Raises $27.5 Million Series C Round From Cisco And Prior Investors,https://techcrunch.com/2010/01/04/quantcast-funding/,"Audience measurement company Quantcast has raised $27.5 million in a third round led by Cisco Systems and joined by Polaris Venture Partners. Other previous investors, namely The Founders Fund and Rev...",2010/01/04,Series C,$27.5 M
Datalogix Raises $45 Million Series C To Pipe Offline Purchase Data To Facebook And Twitter,https://techcrunch.com/2014/05/28/offline-purchase-data/,"Social networks have to prove return on investment to get advertisers to buy bigger campaigns, so they turn to Datalogix to tell them when ads drive brick-and-mortar sales. Datalogix has become a crit...",2014/05/28,Series C,$45 M
"Honest Co., Jessica Alba?s E-Commerce Startup, Has Raised A $70M Series C",https://techcrunch.com/2014/08/27/honest-co-jessica-albas-e-commerce-startup-has-raised-a-70m-series-c/,"Honest Co., an e-commerce startup co-founded by actress Jessica Alba that makes and sells eco-friendly personal care products, has raised $70 million in a series C funding round, the company announced...",2014/08/27,Series C,$70 M
"Payments Network Dwolla Raises $16.5 Million Series C From Andreessen Horowitz & Others, Expands To San Francisco",https://techcrunch.com/2013/04/30/payments-network-dwolla-raises-16-5-million-series-c-from-andreessen-horowitz-others-expands-to-san-francisco/,"Building new infrastructure for digital payments may not sound sexy, but it's an area that's ripe for innovation. The legacy payments networks in existence today are bogged down with outdated technolo...",2013/04/30,Series C,$16.5 M
Social Events Platform DoubleDutch Raises $10 Million Series C Led By Bessemer,https://techcrunch.com/2013/09/25/social-events-platform-doubledutch-raises-10-million-series-c-led-by-bessemer/,"Rapidly growing mobile events application platform DoubleDutch raised $10 million in Series C funding TechCrunch learned, in an oversubscribed round led in large part by Byron Deeter of Bessemer Ventu...",2013/09/25,Series C,$10 M
Cloud-Based Mobile App Testing & Monitoring Platform Perfecto Mobile Raises $15 Million Series C,https://techcrunch.com/2012/10/16/cloud-based-mobile-app-testing-monitoring-platform-perfecto-mobile-raises-15-million-series-c/,"Boston and Israel-based Perfecto Mobile, the makers of a testing and monitoring platform for mobile apps and websites, is today announcing it has secured $15 million in a Series C round of financing. ...",2012/10/16,Series C,$15 M
Twilio Raises $17 Million Series C From Bessemer and Union Square To Expand Abroad,https://techcrunch.com/2011/12/07/twilio-series-c/,"Cloud communications pioneer Twilio is dominating the US with APIs that let developers add SMS, voice, and VoIP functionality to apps. Now it plans to roll out services to 20 more European countries u...",2011/12/07,Series C,$17 M
Twilio raises $17 million Series C funding to boost ambitious Europe expansion,https://techcrunch.com/2011/12/07/twilio-raises-17-million-series-c-funding-to-boost-ambitious-europe-expansion/,Twilio really is on a roll this year. The cloud communications platform today announced it has raised a $17 million Series C round of funding from Bessemer Ventures and Union Square Ventures. The fund...,2011/12/07,Series C,$17 M
Big Data Company RainStor Raises $12 Million Series C From Credit Suisse And Rogers Venture Partners,https://techcrunch.com/2012/10/04/big-data-company-rainstor-raises-12-million-series-c-from-credit-suisse-and-rogers-venture-partners/,"RainStor, makers of a ""NewSQL"" database, announced that it has received a $12 million series C round led by Credit Suisse and Rogers Venture Partners with participation by previous investors Doughty H...",2012/10/04,Series C,$12 M
Thismoment Raises $22 Million Series C Funding Led By Trident Capital For Social Brand CMS,https://techcrunch.com/2012/06/13/thismoment-series-c-funding-22-million/,Thismoment has mostly flown under the tech press' radar since it first launched its platform two years ago. That's primarily because what it makes -- social content management software (CMS) to let br...,2012/06/13,Series C,$22 M
Wonga raises £73m in Series C funding to double-down on massive UK growth,https://techcrunch.com/2011/02/16/wonga-raises-73m-in-series-c-funding-to-double-down-on-massive-uk-growth-2/,"Wonga, the short-loans company which uses a realtime platform to assess users applications instead of people, has raised a significant £73 million ($117 million) funding round - actually a Series C - ...",2011/02/16,Series C,£73 M
"iPhone Game House ngmoco Raises $25 Million Series C, Buys Freeverse",https://techcrunch.com/2010/02/22/ngmoco-25-million-series-c-buys-freeverse/,"Neil Young, the CEO of iPhone game startup ngmoco, wants to ""amass enough scale"" to accelerate ""away from the pack."" He just raised a $25 million series C round and acquired Freeverse, another top iPh...",2010/02/22,Series C,$25 M
Visible Measures Raises $10 Million Series C Funding To Track Online Videos,https://techcrunch.com/2009/03/25/visible-measures-raises-10-million-series-c-funding-to-track-viral-videos/,"Viral video tracking and measurement firm Visible Measures has closed a $10 million series C round of funding, led by Northgate Capital. Existing investors Mohr Davidow and General Catalyst also parti...",2009/03/25,Series C,$10 M
"Harry?s Raises $75.6 Million In Series C, Valued At $750 Million Post Money",https://techcrunch.com/2015/07/07/harrys-raises-75-6-million-in-series-c-valued-at-750-million-post-money/,"Harry's, the direct-to-consumer mens' razor company, has just announced the close of a $75.6 million Series C funding round led by Wellington Management. A source confirmed with TechCrunch that the co...",2015/07/07,Series C,$75.6 M
"Vuze Raises $20M More in Series C, Brings Aboard TiVo Co-Founder Ramsay",https://techcrunch.com/2007/12/18/vuze-raises-20m-more-in-series-c-brings-aboard-tivo-co-founder-ramsay/,"BitTorrent-based video distribution service Vuze, which we last covered in June and was previously known as Azureus, has raised $20M in a Series C round of funding led by New Enterprise Associates (NE...",2007/12/18,Series C,$20 M
